no,real hips,real shoulder,real nose,pixel hips,pixel shoulder,pixel nose
1,50,95,114,243,273,435
2,50,95,114,245,275,436
3,50,95,114,247,274,426
4,50,95,114,247,272,427
5,50,95,114,246,273,433
6,50,95,114,248,274,425
7,50,95,114,248,270,410
8,50,95,114,246,274,424
9,50,95,114,245,274,434
10,50,95,114,250,278,433
11,50,95,114,248,275,434
12,50,95,114,250,278,438
13,50,95,114,250,275,440
14,50,95,114,250,275,441
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
