no,real nose,x,y,,,predicted y,,,error
1,114,347,229,,,116.0683018,,,2.0683018
2,114,347,227,,,115.6730082,,,1.67300819999997
3,114,346,223,,,114.9669922,,,0.966992200000021
4,114,355,219,,,114.3737378,,,0.373737800000015
5,114,351,216,,,114.0027968,,,0.002796800000027
6,114,343,219,,,114.3737378,,,0.373737800000015
7,114,362,213,,,113.6952842,,,-0.304715799999968
8,114,359,222,,,114.8081072,,,0.808107199999995
9,114,357,224,,,115.1329248,,,1.13292479999998
10,114,352,218,,,114.2430432,,,0.243043199999988
11,114,368,219,,,114.3737378,,,0.373737800000015
12,114,355,226,,,115.4859328,,,1.4859328
13,114,331,229,,,116.0683018,,,2.0683018
14,114,336,222,,,114.8081072,,,0.808107199999995
15,114,344,222,,,114.8081072,,,0.808107199999995
16,114,342,224,,,115.1329248,,,1.13292479999998
17,114,352,225,,,115.305905,,,1.305905
18,114,349,223,,,114.9669922,,,0.966992200000021
19,114,347,221,,,114.6562698,,,0.65626979999999
20,114,346,220,,,114.51148,,,0.511480000000034
21,114,347,223,,,114.9669922,,,0.966992200000021
22,114,346,219,,,114.3737378,,,0.373737800000015
23,114,347,225,,,115.305905,,,1.305905
24,114,347,221,,,114.6562698,,,0.65626979999999
25,114,347,217,,,114.1193962,,,0.119396199999983
26,114,331,215,,,113.893245,,,-0.106754999999993
27,114,337,224,,,115.1329248,,,1.13292479999998
28,114,335,221,,,114.6562698,,,0.65626979999999
29,126,147,252,,,122.6403632,,,-3.3596368
30,126,148,256,,,124.1639008,,,-1.83609920000001
31,126,145,252,,,122.6403632,,,-3.3596368
32,126,149,253,,,123.0106762,,,-2.98932379999999
33,126,151,254,,,123.3880368,,,-2.61196319999999
34,126,151,255,,,123.772445,,,-2.22755500000002
35,126,155,258,,,124.9679552,,,-1.03204480000002
36,126,158,260,,,125.8002,,,-0.19980000000001
37,126,159,263,,,127.1014242,,,1.1014242
38,126,157,260,,,125.8002,,,-0.19980000000001
39,126,155,264,,,127.5492608,,,1.54926080000001
40,126,159,260,,,125.8002,,,-0.19980000000001
41,126,165,254,,,123.3880368,,,-2.61196319999999
42,126,168,251,,,122.2770978,,,-3.72290220000002
43,126,165,257,,,124.5624042,,,-1.4375958
44,126,166,262,,,126.6606352,,,0.660635199999973
45,126,159,258,,,124.9679552,,,-1.03204480000002
46,126,158,259,,,125.3805538,,,-0.619446200000027
47,126,161,265,,,128.004145,,,2.00414499999997
48,126,150,271,,,130.8814498,,,4.88144980000001
49,160,382,80,,,163.80072,,,3.80072000000001
50,160,384,78,,,165.5056112,,,5.5056112
51,160,385,80,,,163.80072,,,3.80072000000001
52,160,382,85,,,159.661825,,,-0.338175000000007
53,160,380,82,,,162.1240192,,,2.12401920000002
54,160,380,85,,,159.661825,,,-0.338175000000007
55,160,382,82,,,162.1240192,,,2.12401920000002
56,160,379,88,,,157.2630592,,,-2.73694079999998
57,160,381,85,,,159.661825,,,-0.338175000000007
58,160,380,81,,,162.9588458,,,2.95884580000001
59,160,375,87,,,158.0556002,,,-1.94439979999999
60,160,381,86,,,158.8551888,,,-1.14481119999999
61,160,376,79,,,164.6496418,,,4.64964179999998
62,160,376,85,,,159.661825,,,-0.338175000000007
63,160,384,90,,,155.69912,,,-4.30088000000001
64,160,375,87,,,158.0556002,,,-1.94439979999999
65,160,379,89,,,156.4775658,,,-3.52243419999999
66,160,384,90,,,155.69912,,,-4.30088000000001
67,160,380,92,,,154.1633712,,,-5.8366288
68,160,378,89,,,156.4775658,,,-3.52243419999999
69,160,384,88,,,157.2630592,,,-2.73694079999998
70,160,385,85,,,159.661825,,,-0.338175000000007
71,160,378,85,,,159.661825,,,-0.338175000000007
72,160,383,84,,,160.4755088,,,0.4755088
73,160,386,88,,,157.2630592,,,-2.73694079999998
74,160,386,93,,,153.4060682,,,-6.59393179999998
75,160,393,85,,,159.661825,,,-0.338175000000007
76,160,388,78,,,165.5056112,,,5.5056112
77,160,387,82,,,162.1240192,,,2.12401920000002
78,160,387,84,,,160.4755088,,,0.4755088
79,160,388,83,,,161.2962402,,,1.2962402
80,160,386,88,,,157.2630592,,,-2.73694079999998
81,160,392,81,,,162.9588458,,,2.95884580000001
82,160,389,84,,,160.4755088,,,0.4755088
83,160,393,82,,,162.1240192,,,2.12401920000002
84,160,386,84,,,160.4755088,,,0.4755088
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,-0.002782185714285
